text,sentiment
Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!,positive
 Awww  You'll Be Fine...,positive
 you can explore the site 2 and find cool stuff,positive
"Happy Mother's Day, amma!  I made u cake, remember? U loved it!",positive
"_rubadeau Last weekend I had a pretty solid brunch at Bar Wellington. Hard to screw up steak and eggs, though",positive
"  good as, cya in melbourne",positive
" Lucky you  I face south so I can hear them, and see them reflected off Phillips Point",positive
 that really sucks - I think I might cry if I skipped over anything important I don't have. Comps are getting to be disposable,negative
 They should add Dunkin Donuts to their menu too.,neutral
"Is up, coffee in hand with laminate floor to lay then Footy to watch and play, living the dream",neutral
No 1 evr brngs me a starbux!   *~CoRiEoGrApHy~*,neutral
went to bed last night with the feeling of a migraine coming and woke up feeling worse.,negative
"_city Hey, u like FOB 2! Follow me, luv 2 talk more, looking 4 frineds + followers!  ~Ellen~",positive
"i need to see ...now! someone buy me a plane ticket, please?",neutral
@ ginniejean there's a lot of mojo all over the place...  yes.,neutral
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
off to the family party,neutral
Lucy has an upset tummy and sore leg  http://apps.facebook.com/dogbook/profile/view/182397,negative
ready for the weekend and sad that I have to be at the office again tomorrow morning,negative
 You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not,neutral
 I wish I could still drink it but I had two bad nights with white wine in London and then I was sick for almost a week,negative
 very talented Sam,positive
 I know.     #hhrs,neutral
WOW Panic at the disco en Abbey Road,neutral
 Hi Selena i made this team to support you in Greece and Cyprus,positive
I love that my boyfriends loves my mac n cheese. he even took some to work with him,positive
I really ain't woth a ****. I can't do anythin right.   What's wrong with me?,negative
Making an iMovie of college,neutral
NO MORE MSHS!!!!!!!! Gotta go to work...too tired,negative
 so how is the most wonderful mommy in the world doing?,positive
All the food in my house has sugar ants in it,neutral
 wheres the music mannnn!!?? my inbox is still empty,negative
" LOL good to know the time in LA, it's a 9h time difference ...  good morning to ya",positive
 I think that normally we are drawn to people familiar or similar to us. The cougar thing is for some quick fun.,positive
Last day at DMA over!     a million sad faces.,negative
please please please please let my match be cancelled today. PLEASE,positive
 Awww Thatss Well Sad  x,negative
 Soon I hope... Really need to finish the cloning project so I can get more done,positive
"City Dippin iz u fun, so much eye candy out here...I remember y I miss  LOL",positive
I'm SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i'm alone on maui,negative
"Can you dig it, sucka?  Booker T.  Former WWE Wrestler",neutral
It's fun,positive
Getting back my English minor exam soon. dum dum dum duuuum. Me and Margrete had a burping comp. haha. I WON,positive
Watching Oceans 11 in Vegas - seems so appropriate,positive
Working technology! I love you WAZ!,positive
MORNING EVERY1! Giveaway at http://tinyurl.com/dhc4hg  Mod Kid Emma pattern &amp;$25 GiftCert to HipFabric!! GO check it out,neutral
 **** that is awful... could not believe it at first... so sad,negative
"A singing girl. Talented, yeah. Good to complain about? No",positive
SB 239K.  Flop A Q 9.  4 players check. Turn 9. I check call 200 bet. River brick. I check call with trip 9's with K kick. He shows A9.,neutral
It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!,neutral
Good Morning Twitter Bugsssss 8:48am and my day starts nowwwww,positive
Is at a photoshoot.,neutral
I have to work tonight  But I get my paycheck!,neutral
 Jars was gonna be my answer,neutral
"rap battling at second sat, now at the moviesss  haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfriends Past)",neutral
i can't believe my little brother is married...,neutral
Time to wind down and relax a little.  I can only change the world a little through Twitter each evening.  The rest will be up to others.,neutral
" no, sir, they did not! i was amazed when i woke up this morning.",neutral
"http://twitpic.com/4jerc view of Atlas Mountains, Morocco across the Straits of Gibraltar, I took the other day from Europa Point, Gib",neutral
Craving munchkins so bad.,negative
"oh god they're breaking down so much plaster what are they doing in there  i like walls, thanks!",positive
so bored without a camera,negative
 what did someone do? and good morning,positive
 Clever girl,positive
UP is out today!!! Why why why why does my head hurt so badly??!?!??!!?   I want to see it!!!,negative
This is what I have to give a 7 day old baby  poor thing  http://yfrog.com/6pwwlj,negative
Just dropped my sistah off @ lax.    #fb,neutral
"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again.",negative
My head hurts,negative
 with 14mph winds!!,neutral
 Wow- you are sharing some of my long list.,neutral
maaaaan last night was a funny night! sad aswell tho,neutral
It just occured to me..... tonight is Cheri's Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.,negative
 jass warn me b4 u go to nxt war...i am there to have fun...,positive
 What are u going to do today my girl?,neutral
I see ,neutral
ready for a day full of His presence  i'm expecting the best!,positive
still trying to get better  had to get mommaz lovin..headed to her house.. ahhhhhh i so hate this feelin!,negative
 no i mean 2moz. I'm workin' 7-1 in a bakers then 6-4 later in a pub,neutral
trying to get a sale in my job...,neutral
has just finished ironing his clothes for #Church. Gonna walk the dog now then grab a shower/shave and be off  #jottonia looks good too,positive
 hey you!,neutral
is TATTEDDDDD!!!!!!!!!!!!!,neutral
 Yes we did!  Thank You!!,positive
"_Girl Girl, those are bangin' shoes!!!  Work it!",neutral
another week starts,neutral
 soz i neva saw this message till now...if u add then delete me i cant see any messages uve left on my page,neutral
 Mine too! Hayley is great,positive
I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x,negative
 Don't know yet  Lemme know if you come up with something though.,neutral
First Day for research at Edmonton General,neutral
Jacqueline Wilson day on CBBC,neutral
gear troubles all day long!,negative
to save my heart I think Imma let go! I can see myself getting hurt with you!,negative
just joined Twitter...     Hiya world!,neutral
 have fun without me pasty  &lt;33,positive
 hahah no not that valley. that's cool valley. texas valley. like...rio grande valley. ahhaha i wish i lived in california valley,positive
Mourning Venus' Third Round Loss....,negative
"just installed Windows 7 RC, so far no mushroom cloud yet.",neutral
mozert requiem tonight,neutral
"Downloading TF2, a mere 6.3G ... 3% nearly instantly now down to about 500KB",neutral
Just got home from Stacey's lovely wedding,positive
"Happy Mother's Day!!!  I'm at the beach with my family. It's a warm, clear night with a beautiful full moon...",positive
 that's such a long time from now,neutral
Finally it's Friday! Things are going to be so different starting next week...my house will be empty!,neutral
Yah! Feeling better and had a beaut day - Sophie razzing it at the skateboard park (at all of 3 yrs) and Charli happy at school,positive
&quot;leave the pieces&quot; - the wreckers... hmm,neutral
 umm..nope not anymoree,neutral
 Just got it a few hours ago! So not yet!,neutral
Building Websites,neutral
 yeah yeah gd night then,positive
"  i'll visit ny 'til september, no diggnation for me",neutral
 Awww my lovies! Yes I love it all.  And I'm totally finishing my buffalo sammich after a few hits off the new bongie. &lt;3,positive
hangover today,neutral
I am now Vice President of Social and Cultural Affairs at Southwestern College,neutral
 aww hope uve hada good day  xxxxx,positive
aaaaaw i want to live in the USA,neutral
"Typical overcast bank holiday Monday, glad we went to the beach on Saturday",positive
 Too much details !!!    (But glad he is better),positive
 It's still up the duff boo,neutral
Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,negative
" ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",negative
 Listened to it again coz you reminded me. This is so depressing.  ? http://blip.fm/~5joo9,negative
TV time  see yall later! xoxo,neutral
 yupp t's better than people being rude to her  x,neutral
 it was great to meet ya katie...awesome shows for sure!! Safe travels home.,positive
 I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details,positive
low low low low low low low low low.............................,neutral
getting back from smackdown/ecw show,neutral
 That doesn't sound fun,negative
 love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong),neutral
" haha, its cos one of your 'tweets' was smile smile smile, so i quoted the boys in reply",positive
hut myself in the face with a hammer earlier by accident  obviously it hurts.,negative
 You always catch me away from my computer.  ?,neutral
 How's the head this morning?,neutral
"It's beautiful outside. The sun is shining, the birds are singing and I? I'm studying  Wish it were already vacation.",positive
Wat a nice day it was 2day!me and rachel decided to walk to work and walk back lol..was so warm inside tho,positive
 hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,negative
New toys.,neutral
Hydro drive abandoned after three miles,neutral
getting my new cellphone on wednesday! the LG Voyager! its soo sweet! i can't wait that long though,positive
Need some coffee... Getting serious withdrawal symptoms,negative
 20 at least hugh  happy trails,positive
Just sittin here waitin for my coffee to be full grown on farm town before going to bed,neutral
" The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&quot;. I am Persian!",neutral
Happy Mothers Day to all the mommy's out there!,positive
 here I am!,neutral
" Happy Friday! Do u know how I can get a copy of the BT art u did on Mel's fake Twitter? I'm n it, but can't find it now.  THX",positive
  Thanks darling girl   ****,positive
Pretty sure I'm sat on the wrong train going the wrong way... Bah!,negative
TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day,positive
 PC I agree...  We have a problem. We must stop spending and only work!!!,negative
"recovering from a hard day of homeschooling my dd, chemistry did NOT go well...",neutral
: Where did you get a copy? I wanna watch that also.,neutral
  tell me about it,neutral
 you didn't come to see the hosts at hilton mr. thomas. we spent lots of money for nothing. that's boring,negative
 hmmm how bout my boi an me jammin sum john stephens for ya?,neutral
Hey  Mia!! Go to bed!!    (deangeloredman live &gt; http://ustre.am/2NlC),neutral
" here btw, this is not a bot",neutral
" Oh, I see what you mean. That is true if they are used improperly, which we know they are.",neutral
 Mmmmmm I love curry. Don't have an Oregan though.,positive
 I'm glad you've been having fun babe,positive
 Yay! Lets welcome Mrs Mcnugget to twitterverse!,positive
June gloom seems to have arrived early,neutral
Be my Yoko Ono and follow me wherever I may go !,neutral
Working on our baseball fundraiser  Get 10% percent off Platium or Diamond wedding package if you let us know you saw us on Twitter!,neutral
 Thanks so much Jon.....same to your mom    That is so sweet of you to think of all of us,positive
shows how twitaddicted you can get,neutral
Almost lost my phone.,neutral
Friday tubes at work are slow..,negative
 Bryan hasn't replied about wingnuts,neutral
"happy mothers day.  oh and no i havent read it yet, will do now",positive
 that'll do it too,neutral
 Our weekend was also great... two friends of Julia were here for four days...,positive
" if you meant to heavy rain n flood in bkk last night, lucky I was out of bkk",positive
 It was on my CNN subscription on Google Reader. I couldn't help but repost it,neutral
happy mothers day..,positive
Took me 2 times to get over the wall. What killed me was the 150 lb dummy that you can't drag. 12  seconds over.,negative
He brings SOOO much joy!! Show it!!  great song! ? http://blip.fm/~5z3oq http://ff.im/2L63l,positive
writing,neutral
"just woke up, hopefully going to see the Xmen film today?",neutral
  That's no good. I'm sorry,negative
"Good morning  I don't think it has stopped raining once for the past three days or so, but who cares?",positive
"re-dyed the hair, early start tomorrow heading down to londons clothes show, great place to be when i feel fat.   bright side = motivation",positive
" did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",negative
  that's no bueno...hope u feel better!,positive
" kk, awesome.",positive
" Happy Mothersday btw! Look at the bright side, you can chill all day today",positive
 thanks dinno  appreciate it,positive
I am finally on a roll... now time to stop.   Is it weird when you love what you do?,neutral
" I hope you had fun in Canada  don't worry you'll see then again this summer,",positive
"had a good day driving up mountains, visiting katie, eating chips &amp; fudge and stocking up on lovely smelling soaps",positive
I'm entering a two month study/exam period.  Which is awesome. - See you on the flip side,positive
 Why can't you? Are you rooting for Ali in the Twitter war?,neutral
such a nice day and i'm gonna be stuck inside all night,positive
horseback riding,neutral
Grey's 'Sweet Surrender'  http://tinyurl.com/d5mjyj,neutral
just got home from the last day of school.  graduation tomorrow.,neutral
 ... Yes.  That's what I said.,neutral
I don't feel good.  .My throat hurts!!!!,negative
 - we wouldn't miss it for the world!  ICCVB meetings  Mon-Wed....  the fun is just beginning,positive
 I hope it's something relatively minor and easy to heal. I can't stand it when the furbabies get sick.,neutral
@__Jasper_Hale__ *Laughs* that's because I like winning,positive
 haha that's because you also look amazing in it! have fun!,positive
_tastic Awww that is sweet,positive
oh! i think i didnt do well on my photo editing for Db!  sorry :|,negative
aww my son gave me a purple g shock for mother's day,positive
 Oh no! Hope you find your voice soon,neutral
"twittering, texting, and ipoding. i love the invention of mutitasking!",positive
You can't spell #melo without e m and o...  &lt;3 to my favorite blogging site.,positive
back from dinner w. my family. i'm not meeting christine anymore  sunny weather tomorrow and a day out &amp; about. i want red bull!,neutral
Just got back.,neutral
iProcrastinate: This is by far my #1 character flaw. Gotta session at 11 and I don't want to emerge from my covers.,neutral
"Finally in my bed, &amp; I must say, I had quite an evening. I'm ready to tackle this work week &amp; see what next weekend has in store for me",neutral
Jane is really sad because she probably won't get perfect on tonight's quiz without the missing article. Should've asked someone for it.,negative
wishes she would call him ...   *hc*,neutral
 you are the sweetest.  love you cuz!,positive
 legit. Legit cruise.,neutral
  awww for me I just think she's tooo young or just not ready for it - tis painful to watch her so upset,negative
 Not so good  I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour.,negative
OUCH! my earphones just shocked me,negative
" Guapisimo, chico you and Ms. Lady Gaga looked amazing as usual",positive
Off work,neutral
"Isss boredddd, gotta be up in the morningg",neutral
"_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!",positive
 ..people you love.... wait i am not there,positive
 aww thanx andy,positive
I think you are super cute...,positive
"Who starts a briefing at 7:30 a.m.? People on the East Coast, that's who.",neutral
() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,negative
_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies,negative
I missed the  announcement   Something about being flow out for a concert? Can anyone fill me in?,neutral
I wish i could sleep past four a.m. on my nights off  good morning!,positive
It was my baby bros last time singing in front of his school  im so so proud of him !!! but when did i get old  im only 22!,positive
 Equations and graphs,neutral
i just dyed my hair,neutral
 Haha same as miine,neutral
_ Goodnight,neutral
 Good night Erin!  i wouldn't say that this is early or that you are old.,positive
Notion video deleted.,neutral
 twist cld u follow me  ill love u forever,positive
http://twitpic.com/4wsy6 - Beauty.  Going out now!,neutral
"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don't feel well! Hope it goes FAST",negative
 I hope you feel better soon,positive
Playing see you again-miley cyrus in the shop,neutral
wants this summer to actually have some sun in it,neutral
So off work about to do what I don't know I'm exhausted,negative
Wrapped up some html/java work now spending the night dabbling in some flash intros,neutral
 Britain's Got Talent? Such a cute little girl. Feel so sorry for her!   Hope Simon finds the time! ****,neutral
" love you tooooo  Duuude,i need to make myself a shirt that says something cool! what should it say?",positive
_Grenade The link 404'd.,neutral
thanks for the raspberry-Laced Vanilla Cake,positive
" haha.. you were actually in violations of someone's trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[",negative
 Noooo! Poor SE,negative
" talk to their creators yesterday no date for public release, just developers",neutral
schade  #tv_addict,neutral
 me toooooo! Thank u,positive
listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.,negative
Dang you internet. . . Its been down all night. . .,negative
"Heading to bed. I think I'll read for a bit, propped up on fluffy pillows.",neutral
 I'm not too bad. Just trying to get by so I can live the dream AND rule the world.   Saving up for a super hero costume.,neutral
i am talkin on da phone and typin at da same time,neutral
_R_Roberts I LOOK forward to seeing and sharing,positive
Im moving to canada,neutral
Shots suuuuck!  im done  no more vacines!,negative
  God bless that oh-so-sexy rahul picture,positive
_WOCKEEZ  Don't wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...,negative
 your face makes people laugh. cause you're so ugly. so you're half-way there,negative
"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",negative
 1 pm...,neutral
@ it hurts me that my sister has so much potential and she isnt using any of it  what a waste of God-given talent.,neutral
